solv_comb_sm,salt_comb_sm,prediction_aggr,uncertainty_aggr,explore_aggr,exploit_aggr,ratio_aggr,EI_aggr
COCCC(C)(C)ON(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.008528250182422e-06,0.001045736492891258,1.2160271375597905e-07,-9.367559579259007e-08,-0.7703413262681744,2.7927117963389003e-08
COC(C)(CCC(C)C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.1227999525216013e-06,0.0010793460482864399,1.209524496256068e-07,-9.30300499676737e-08,-0.7691456457114891,2.7922399657933095e-08
COCC(C)(C)C(OC)N(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.8186909600167783e-06,0.0009931431368996413,1.2170392214474551e-07,-9.380444913627902e-08,-0.7707594585547953,2.7899473008466474e-08
COCC(C)(C)OCCN(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.553957285827902e-06,0.0009218290759157892,1.2155601724359338e-07,-9.36791318215663e-08,-0.7706663474654413,2.7876885422027074e-08
COC(C)(C(=O)N(C)C)N(CCN(C(C)(OC)C(=O)N(C)C)C(C)(OC)C(=O)N(C)C)C(C)(OC)C(=O)N(C)C,[Li+].F[P-](F)(F)(F)(F)F,5.273698659759949e-07,0.0006781899334981494,1.1968827588601525e-07,-9.18181490422713e-08,-0.767144052853715,2.7870126843743956e-08
COCCC(OC(C)(C)C)N(C)C=O,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.0006203383458336e-06,0.0010422411791371816,1.211726651846545e-07,-9.33051082513954e-08,-0.7700177932804246,2.7867556933259097e-08
COC(C)(CC(C)C)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.1550470562503145e-06,0.0010896502013781593,1.2098850457114428e-07,-9.312294389750377e-08,-0.7696842293206884,2.7865560673640533e-08
COCC(C)(OC)C(C)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.7719991783191947e-06,0.0012418029704626397,1.202144352625259e-07,-9.235056712007541e-08,-0.7682152889409578,2.7863868142450505e-08
COC(C)CC(C)(C)OC,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.1976913662507696e-06,0.0010983641428689373,1.2081840987968069e-07,-9.296018732074391e-08,-0.7694207150493049,2.7858222558936794e-08
COC(C(C)(C)C)C(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,2.337357070152036e-06,0.0011363935330488955,1.208310333255973e-07,-9.297843827941027e-08,-0.7694913775078457,2.785259504618702e-08
